Film,Award,Year of Release,IMDB Rating,Tomatometer Rating,Audience Rating,,,,,,,,,,,,,,,,,,,,,,,,
West Side Story,Winner,1961,7.5,92,84,,,,,,,,,,,,,,,,,,,,,,,,
Fanny,Nominee,1961,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
The Guns of Navarone,Nominee,1961,7.5,92,86,,,,,,,,,,,,,,,,,,,,,,,,
The Hustler,Nominee,1961,8,98,93,,,,,,,,,,,,,,,,,,,,,,,,
Judgment at Nuremberg,Nominee,1961,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence of Arabia,Winner,1962,8.3,98,93,,,,,,,,,,,,,,,,,,,,,,,,
The Longest Day,Nominee,1962,7.8,87,90,,,,,,,,,,,,,,,,,,,,,,,,
The Music Man,Nominee,1962,7.7,94,85,,,,,,,,,,,,,,,,,,,,,,,,
Mutiny on the Bounty,Winner,1962,7.2,68,73,,,,,,,,,,,,,,,,,,,,,,,,
To Kill a Mockingbird,Nominee,1962,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Jones,Winner,1963,6.5,82,58,,,,,,,,,,,,,,,,,,,,,,,,
America America,Nominee,1963,7.8,67,85,,,,,,,,,,,,,,,,,,,,,,,,
Cleopatra,Nominee,1963,7,62,69,,,,,,,,,,,,,,,,,,,,,,,,
How the West Was Won,Nominee,1962,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilies of the Field,Nominee,1963,7.6,91,86,,,,,,,,,,,,,,,,,,,,,,,,
My Fair Lady,Winner,1964,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Becket,Nominee,1964,7.8,76,87,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Nominee,1964,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Poppins,Nominee,1964,7.8,100,86,,,,,,,,,,,,,,,,,,,,,,,,
Zorba the Greek,Nominee,1964,7.7,80,86,,,,,,,,,,,,,,,,,,,,,,,,
The Sound of Music,Winner,1965,8,83,91,,,,,,,,,,,,,,,,,,,,,,,,
Darling,Nominee,1965,7.1,67,71,,,,,,,,,,,,,,,,,,,,,,,,
Doctor Zhivago,Nominee,1965,8,84,88,,,,,,,,,,,,,,,,,,,,,,,,
Ship of Fools,Nominee,1965,7.1,72,78,,,,,,,,,,,,,,,,,,,,,,,,
A Thousand Clowns,Nominee,1965,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
A Man for All Seasons,Winner,1966,7.7,83,87,,,,,,,,,,,,,,,,,,,,,,,,
Alfie,Nominee,1966,7,96,76,,,,,,,,,,,,,,,,,,,,,,,,
"The Russians Are Coming, the Russians Are Coming",Nominee,1966,7,86,75,,,,,,,,,,,,,,,,,,,,,,,,
The Sand Pebbles,Nominee,1966,7.6,89,88,,,,,,,,,,,,,,,,,,,,,,,,
Who's Afraid of Virginia Woolf?,Nominee,1966,8,95,91,,,,,,,,,,,,,,,,,,,,,,,,
In the Heat of the Night,Winner,1967,7.9,95,92,,,,,,,,,,,,,,,,,,,,,,,,
Bonnie and Clyde,Nominee,1967,7.8,88,88,,,,,,,,,,,,,,,,,,,,,,,,
Doctor Dolittle,Nominee,1967,6.2,29,57,,,,,,,,,,,,,,,,,,,,,,,,
The Graduate,Nominee,1967,8,87,90,,,,,,,,,,,,,,,,,,,,,,,,
Guess Who's Coming to Dinner,Nominee,1967,7.8,70,85,,,,,,,,,,,,,,,,,,,,,,,,
Oliver!,Winner,1968,7.4,82,81,,,,,,,,,,,,,,,,,,,,,,,,
Funny Girl,Nominee,1968,7.4,93,85,,,,,,,,,,,,,,,,,,,,,,,,
The Lion in Winter,Nominee,1968,7.9,90,90,,,,,,,,,,,,,,,,,,,,,,,,
"Rachel, Rachel",Nominee,1968,7.3,86,77,,,,,,,,,,,,,,,,,,,,,,,,
Romeo and Juliet,Nominee,1968,7.6,95,74,,,,,,,,,,,,,,,,,,,,,,,,
Midnight Cowboy,Winner,1969,7.8,88,88,,,,,,,,,,,,,,,,,,,,,,,,
Anne of the Thousand Days,Nominee,1969,7.5,38,83,,,,,,,,,,,,,,,,,,,,,,,,
Butch Cassidy and the Sundance Kid,Nominee,1969,8,90,92,,,,,,,,,,,,,,,,,,,,,,,,
"Hello, Dolly!",Nominee,1969,7.1,43,76,,,,,,,,,,,,,,,,,,,,,,,,
Z,Nominee,1969,8.3,93,93,,,,,,,,,,,,,,,,,,,,,,,,
Patton,Winner,1970,7.9,94,93,,,,,,,,,,,,,,,,,,,,,,,,
Airport,Nominee,1970,6.6,73,53,,,,,,,,,,,,,,,,,,,,,,,,
Five Easy Pieces,Nominee,1970,7.5,88,84,,,,,,,,,,,,,,,,,,,,,,,,
Love Story,Nominee,1970,6.9,68,75,,,,,,,,,,,,,,,,,,,,,,,,
M*A*S*H,Nominee,1970,7.5,87,83,,,,,,,,,,,,,,,,,,,,,,,,
The French Connection,Winner,1971,7.7,98,87,,,,,,,,,,,,,,,,,,,,,,,,
A Clockwork Orange,Nominee,1971,8.3,88,93,,,,,,,,,,,,,,,,,,,,,,,,
Fiddler on the Roof,Nominee,1971,8,83,92,,,,,,,,,,,,,,,,,,,,,,,,
The Last Picture Show,Nominee,1971,8,100,90,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas and Alexandra,Nominee,1971,7.2,67,78,,,,,,,,,,,,,,,,,,,,,,,,
The Godfather,Winner,1972,9.2,98,98,,,,,,,,,,,,,,,,,,,,,,,,
Cabaret,Nominee,1972,7.8,93,87,,,,,,,,,,,,,,,,,,,,,,,,
Deliverance,Nominee,1972,7.7,89,82,,,,,,,,,,,,,,,,,,,,,,,,
The Emigrants,Nominee,1971,8,93,87,,,,,,,,,,,,,,,,,,,,,,,,
Sounder,Nominee,1972,7.6,90,77,,,,,,,,,,,,,,,,,,,,,,,,
The Sting,Winner,1973,8.3,94,95,,,,,,,,,,,,,,,,,,,,,,,,
American Graffiti,Nominee,1973,7.4,96,84,,,,,,,,,,,,,,,,,,,,,,,,
Cries and Whispers,Nominee,1972,8.1,90,91,,,,,,,,,,,,,,,,,,,,,,,,
The Exorcist,Nominee,1973,8,83,87,,,,,,,,,,,,,,,,,,,,,,,,
