Film,Award,Year of Release,IMDB Rating,Tomatometer Rating,Audience Rating,Meta Critic,Meta User
Moulin Rouge!,Nominee,2001,76,76,89,66,85
Chicago,Winner,2002,72,86,83,82,80
Gangs of New York,Nominee,2002,75,73,81,72,77
The Hours,Nominee,2002,75,80,84,80,87
The Lord of the Rings: The Two Towers,Nominee,2002,87,95,95,87,90
The Pianist,Nominee,2002,85,95,96,85,78
The Lord of the Rings: The Return of the King,Winner,2003,89,93,86,94,91
Lost in Translation,Nominee,2003,77,95,85,89,75
Master and Commander: The Far Side of the World,Nominee,2003,74,85,80,81,64
Mystic River,Nominee,2003,79,88,89,84,70
Seabiscuit,Nominee,2003,73,78,76,72,73
Million Dollar Baby,Winner,2004,81,91,90,86,75
The Aviator,Nominee,2004,75,86,79,77,86
Finding Neverland,Nominee,2004,77,83,87,67,79
Ray,Nominee,2004,77,80,87,73,87
Sideways,Nominee,2004,75,97,79,94,71
Crash,Winner,2005,77,74,88,66,85
Brokeback Mountain,Nominee,2005,77,87,82,87,83
Capote,Nominee,2005,73,90,82,88,78
"Good Night, and Good Luck",Nominee,2005,74,93,83,80,73
Munich,Nominee,2005,75,78,83,74,80
The Departed,Winner,2006,85,91,94,85,73
Babel,Nominee,2006,74,69,77,69,66
Letters from Iwo Jima,Nominee,2006,79,91,86,89,82
Little Miss Sunshine,Nominee,2006,78,91,91,80,75
The Queen,Nominee,2006,73,96,76,91,67
No Country for Old Men,Winner,2007,81,93,86,91,78
Atonement,Nominee,2007,78,83,80,85,79
Juno,Nominee,2007,74,94,88,81,83
Michael Clayton,Nominee,2007,72,91,69,82,77
There Will Be Blood,Nominee,2007,82,92,86,93,81
Slumdog Millionaire,Winner,2008,80,91,90,86,78
The Curious Case of Benjamin Button,Nominee,2008,78,72,80,70,73
Frost/Nixon,Nominee,2008,77,93,88,80,78
Milk,Nominee,2008,75,93,89,84,76
The Reader,Nominee,2008,76,63,79,58,72
The Hurt Locker,Winner,2009,75,97,84,95,73
Avatar,Nominee,2009,78,82,82,83,75
The Blind Side,Nominee,2009,76,66,85,53,74
