,Film,Award,Year of Release,IMDB Rating,Tomatometer Rating,Audience Rating
167,Master and Commander: The Far Side of the World,Nominee,2003,7.4,85.0,80.0
168,Mystic River,Nominee,2003,7.9,88.0,89.0
169,Seabiscuit,Nominee,2003,7.3,78.0,76.0
170,Million Dollar Baby,Winner,2004,8.1,91.0,90.0
171,The Aviator,Nominee,2004,7.5,86.0,79.0
172,Finding Neverland,Nominee,2004,7.7,83.0,87.0
173,Ray,Nominee,2004,7.7,80.0,87.0
174,Sideways,Nominee,2004,7.5,97.0,79.0
175,Crash,Winner,2005,7.7,74.0,88.0
176,Brokeback Mountain,Nominee,2005,7.7,87.0,82.0
177,Capote,Nominee,2005,7.3,90.0,82.0
178,"Good Night, and Good Luck",Nominee,2005,7.4,93.0,83.0
179,Munich,Nominee,2005,7.5,78.0,83.0
180,The Departed,Winner,2006,8.5,91.0,94.0
181,Babel,Nominee,2006,7.4,69.0,77.0
182,Letters from Iwo Jima,Nominee,2006,7.9,91.0,86.0
183,Little Miss Sunshine,Nominee,2006,7.8,91.0,91.0
184,The Queen,Nominee,2006,7.3,96.0,76.0
185,No Country for Old Men,Winner,2007,8.1,93.0,86.0
186,Atonement,Nominee,2007,7.8,83.0,80.0
187,Juno,Nominee,2007,7.4,94.0,88.0
188,Michael Clayton,Nominee,2007,7.2,91.0,69.0
189,There Will Be Blood,Nominee,2007,8.2,92.0,86.0
190,Slumdog Millionaire,Winner,2008,8.0,91.0,90.0
191,The Curious Case of Benjamin Button,Nominee,2008,7.8,72.0,80.0
192,Frost/Nixon,Nominee,2008,7.7,93.0,88.0
193,Milk,Nominee,2008,7.5,93.0,89.0
194,The Reader,Nominee,2008,7.6,63.0,79.0
195,The Hurt Locker,Winner,2008,7.5,97.0,84.0
196,Avatar,Nominee,2009,7.8,82.0,82.0
197,The Blind Side,Nominee,2009,7.6,66.0,85.0
198,District 9,Nominee,2009,7.9,90.0,82.0
199,An Education,Nominee,2009,7.3,94.0,80.0
200,Inglourious Basterds,Nominee,2009,8.3,89.0,88.0
201,Precious: Based on the Novel 'Push' by Sapphire,Nominee,2009,7.3,92.0,81.0
202,A Serious Man,Nominee,2009,7.1,90.0,68.0
203,Up,Nominee,2009,8.2,98.0,90.0
204,Up in the Air,Nominee,2009,7.4,91.0,79.0
205,The King's Speech,Winner,2010,8.0,94.0,92.0
206,127 Hours,Nominee,2010,7.5,93.0,85.0
207,Black Swan,Nominee,2010,8.0,85.0,84.0
208,The Fighter,Nominee,2010,7.8,90.0,89.0
209,Inception,Nominee,2010,8.8,87.0,91.0
210,The Kids Are All Right,Nominee,2010,7.0,92.0,74.0
211,The Social Network,Nominee,2010,7.7,96.0,86.0
212,Toy Story 3,Nominee,2010,8.2,98.0,89.0
213,True Grit,Nominee,2010,7.6,96.0,85.0
214,Winter's Bone,Nominee,2010,7.2,94.0,76.0
215,The Artist,Winner,2011,7.9,95.0,87.0
216,The Descendants,Nominee,2011,7.3,88.0,79.0
217,Extremely Loud & Incredibly Close,Nominee,2011,6.9,45.0,61.0
218,The Help,Nominee,2011,8.0,76.0,89.0
219,Hugo,Nominee,2011,7.5,93.0,78.0
220,Midnight in Paris,Nominee,2011,7.7,93.0,83.0
221,Moneyball,Nominee,2011,7.6,94.0,86.0
222,The Tree of Life,Nominee,2011,6.8,85.0,60.0
223,War Horse,Nominee,2011,7.2,75.0,74.0
224,Argo,Winner,2012,7.7,96.0,90.0
225,Amour,Nominee,2012,7.9,93.0,82.0
226,Beasts of the Southern Wild,Nominee,2012,7.3,87.0,76.0
227,Django Unchained,Nominee,2012,8.4,87.0,91.0
228,Life of Pi,Nominee,2012,7.9,87.0,84.0
229,Lincoln,Nominee,2012,7.3,89.0,81.0
230,Les Misérables,Nominee,2012,7.6,69.0,79.0
231,Silver Linings Playbook,Nominee,2012,7.7,92.0,86.0
232,Zero Dark Thirty,Nominee,2012,7.4,91.0,80.0
233,12 Years a Slave,Winner,2013,8.1,95.0,90.0
234,American Hustle,Nominee,2013,7.2,92.0,74.0
235,Captain Phillips,Nominee,2013,7.8,93.0,89.0
236,Dallas Buyers Club,Nominee,2013,8.0,93.0,91.0
237,Gravity,Nominee,2013,7.7,96.0,80.0
238,Her,Nominee,2013,8.0,95.0,82.0
239,Nebraska,Nominee,2013,7.7,91.0,83.0
240,Philomena,Nominee,2013,7.6,90.0,89.0
241,The Wolf of Wall Street,Nominee,2013,8.2,80.0,83.0
242,Birdman or (The Unexpected Virtue of Ignorance),Winner,2014,7.7,91.0,78.0
243,American Sniper,Nominee,2014,7.3,72.0,84.0
244,Boyhood,Nominee,2014,7.9,97.0,81.0
245,The Grand Budapest Hotel,Nominee,2014,8.1,91.0,86.0
246,The Imitation Game,Nominee,2014,8.0,89.0,91.0
247,Selma,Nominee,2014,7.5,99.0,86.0
248,The Theory of Everything,Nominee,2014,7.7,80.0,84.0
249,Whiplash,Nominee,2014,8.5,94.0,94.0
250,Spotlight,Winner,2015,8.1,97.0,93.0
251,The Big Short,Nominee,2015,7.8,88.0,88.0
252,Bridge of Spies,Nominee,2015,7.6,90.0,87.0
253,Brooklyn,Nominee,2015,7.5,97.0,87.0
254,Mad Max: Fury Road,Nominee,2015,8.1,97.0,85.0
255,The Martian,Nominee,2015,8.0,91.0,91.0
256,The Revenant,Nominee,2015,8.0,78.0,84.0
257,Room,Nominee,2015,8.1,93.0,93.0
258,Moonlight,Winner,2016,7.4,98.0,79.0
